name,order,rank,slug,revenues_m,revenue_percent_change,profits_m,profits_percent_change,assets_m,total_shareholder_equity,profit_as_of_revenues,profits_as_of_assets,profit_as_a_of_shareholder_equity,industry,headquarters_state,market_value_m,ticker,year,employees,headquarters_city,gained_in_rank,dropped_in_rank,newcomer_to_the_fortune_500,profitable,founder_is_ceo,foreign_born_ceo,female_ceo,growth_in_jobs,sector,global_500,best_companies,world_s_most_admired_companies,change_the_world,fastest_growing_companies,change_in_rank_full_1000,change_in_rank_500_only,measure_up,measure_up_rank,state
Hertz Global Holdings,296,296,/company/hertz-global-holdings/,"$9,480",-10%,$-491,-279.9%,"$19,155",,,,,"Automotive Retailing, Services",FL,"$1,456",HTZ,2017,"36,000",Estero,no,yes,no,,no,,yes,,Retailing,no,no,no,no,no,-27,-27,,,
MGM Resorts International,297,297,/company/mgm-resorts-international/,"$9,455",2.9%,"$1,101.4",,"$28,173",,,,,"Hotels, Casinos, Resorts",NV,"$15,733",MGM,2017,"66,500",Las Vegas,yes,no,no,,no,,no,,"Hotels, Restaurants & Leisure",no,no,yes,no,no,12,12,,,
Corning,298,298,/company/corning/,"$9,390",3.1%,"$3,695",176%,"$27,899",,,,,"Electronics, Electrical Equipment",NY,"$25,030",GLW,2017,"40,700",Corning,yes,no,no,,no,,no,,Industrials,no,no,yes,no,no,15,15,,,
Republic Services,299,299,/company/republic-services/,"$9,388",3%,$612.6,-18.3%,"$20,630",,,,,Waste Management,AZ,"$21,312",RSG,2017,"33,000",Phoenix,yes,no,no,,no,,no,,Business Services,no,no,no,no,no,13,13,,,
Alcoa,300,300,/company/alcoa/,"$9,318",,$-400,,"$16,741",,,,,Metals,NY,"$6,337",AA,2017,"14,000",New York,no,no,yes,,no,,no,,Materials,no,no,no,no,no,,,,,
Fidelity National Information Services,301,301,/company/fidelity-national-information-services/,"$9,241",40.1%,$568,-10.1%,"$26,031",,,,,Financial Data Services,FL,"$26,178",FIS,2017,"55,000",Jacksonville,yes,no,no,,no,,no,,Business Services,no,no,no,no,no,91,91,,,
Pacific Life,302,302,/company/pacific-life/,"$9,169",6.1%,$824,24.7%,"$143,298",,,,,"Insurance: Life, Health (Stock)",CA,,,2017,"3,628",Newport Beach,yes,no,no,,no,,no,,Financials,no,no,no,no,no,24,24,,,
SunTrust Banks,303,303,/company/suntrust-banks/,"$9,161",7.4%,"$1,878",-2.8%,"$204,875",,,,,Commercial Banks,GA,"$27,175",STI,2017,"24,375",Atlanta,yes,no,no,,no,,no,,Financials,no,no,no,no,no,26,26,,,
LKQ,304,304,/company/lkq/,"$9,082",26.3%,$464,9.6%,"$8,303",,,,,Wholesalers: Diversified,IL,"$9,021",LKQ,2017,"42,500",Chicago,yes,no,no,,no,,no,,Wholesalers,no,no,no,no,no,65,65,,,
BorgWarner,305,305,/company/borgwarner/,"$9,071",13.1%,$118.5,-80.6%,"$8,835",,,,,Motor Vehicles and Parts,MI,"$8,895",BWA,2017,"27,000",Auburn Hills,yes,no,no,,no,,no,,Motor Vehicles & Parts,no,no,no,no,no,34,34,,,
Ball,306,306,/company/ball/,"$9,061",13.3%,$263,-6.4%,"$16,173",,,,,"Packaging, Containers",CO,"$13,000",BALL,2017,"18,450",Broomfield,yes,no,no,,no,,no,,Materials,no,no,yes,no,no,35,35,,,
CST Brands,307,306,/company/cst-brands/,"$9,061",-4.6%,$324,117.4%,"$4,360",,,,,Specialty Retailers: Other,TX,"$3,645",CST,2017,"12,380",San Antonio,no,yes,no,,no,,yes,,Retailing,no,no,no,no,no,-7,-7,,,
Public Service Enterprise Group,308,306,/company/public-service-enterprise-group/,"$9,061",-13%,$887,-47.2%,"$40,070",,,,,Utilities: Gas and Electric,NJ,"$22,451",PEG,2017,"13,065",Newark,no,yes,no,,no,,no,,Energy,no,no,yes,no,no,-34,-34,,,
Eastman Chemical,309,309,/company/eastman-chemical/,"$9,008",-6.6%,$854,0.7%,"$15,457",,,,,Chemicals,TN,"$11,783",EMN,2017,"14,000",Kingsport,no,yes,no,,no,,no,,Chemicals,no,no,no,no,no,-13,-13,,,
eBay,310,310,/company/ebay/,"$8,979",-5.4%,"$7,266",321.2%,"$23,847",,,,,Internet Services and Retailing,CA,"$36,232",EBAY,2017,"12,600",San Jose,no,yes,no,,no,,no,,Technology,no,no,yes,no,no,-10,-10,,,
Mohawk Industries,311,311,/company/mohawk-industries/,"$8,959",11%,$930.4,51.2%,"$10,231",,,,,"Home Equipment, Furnishings",GA,"$17,025",MHK,2017,"37,800",Calhoun,yes,no,no,,no,,no,,Household Products,no,no,yes,no,no,27,27,,,
Oneok,312,312,/company/oneok/,"$8,921",14.9%,$352,43.7%,"$16,139",,,,,Pipelines,OK,"$11,684",OKE,2017,"2,384",Tulsa,yes,no,no,,no,,no,,Energy,no,no,no,no,no,36,36,,,
Frontier Communications,313,313,/company/frontier-communications/,"$8,896",59.5%,$-373,,"$29,013",,,,,Telecommunications,CT,"$2,521",FYBR,2017,"28,332",Norwalk,yes,no,no,,no,,no,,Telecommunications,no,no,no,no,no,148,148,,,
Netflix,314,314,/company/netflix/,"$8,831",30.3%,$186.7,52.2%,"$13,587",,,,,Internet Services and Retailing,CA,"$63,619",NFLX,2017,"3,850",Los Gatos,yes,no,no,,yes,,no,,Technology,no,no,yes,no,yes,65,65,,,
American Family Insurance Group,315,315,/company/american-family-insurance-group/,"$8,829",6.6%,$325.6,-53.1%,"$22,662",,,,,Insurance: Property and Casualty (Stock),WI,,,2017,"10,471",Madison,yes,no,no,,no,,no,,Financials,no,no,no,no,no,17,17,,,
Thrivent Financial for Lutherans,316,316,/company/thrivent-financial-for-lutherans/,"$8,777",-0.1%,$587.8,-23.6%,"$88,561",,,,,"Insurance: Life, Health (Mutual)",MN,,,2017,"3,282",Minneapolis,yes,no,no,,no,,no,,Financials,no,no,no,no,no,2,2,,,
Expedia Group,317,317,/company/expedia-group/,"$8,774",31.5%,$281.8,-63.1%,"$15,778",,,,,Internet Services and Retailing,WA,"$18,901",EXPE,2017,"20,075",Bellevue,yes,no,no,,no,,no,,Technology,no,no,yes,no,no,68,68,,,
Lithia Motors,318,318,/company/lithia-motors/,"$8,678",10.3%,$197.1,7.7%,"$3,844",,,,,"Automotive Retailing, Services",OR,"$2,156",LAD,2017,"11,170",Medford,yes,no,no,,no,,no,,Retailing,no,no,no,no,yes,28,28,,,
Avis Budget Group,319,319,/company/avis-budget-group/,"$8,659",1.8%,$163,-47.9%,"$17,643",,,,,"Automotive Retailing, Services",NJ,"$2,528",CAR,2017,"25,600",Parsippany,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,11,11,,,
Reliance,320,320,/company/reliance-steel-aluminum/,"$8,613",-7.9%,$304.3,-2.3%,"$7,411",,,,,Metals,CA,"$5,830",RS,2017,"14,500",Los Angeles,no,yes,no,,no,,no,,Materials,no,no,no,no,no,-17,-17,,,
GameStop,321,321,/company/gamestop/,"$8,608",-8.1%,$353.2,-12.3%,"$4,976",,,,,Specialty Retailers: Other,TX,"$2,282",GME,2017,"41,750",Grapevine,no,yes,no,,no,,no,,Retailing,no,no,no,no,no,-19,-19,,,
Tenneco,322,322,/company/tenneco/,"$8,599",4.8%,$363,47%,"$4,342",,,,,Motor Vehicles and Parts,IL,"$3,390",,2017,"31,000",Lake Forest,yes,no,no,,no,,no,,Motor Vehicles & Parts,no,no,no,no,no,12,12,,,
O'Reilly Automotive,323,323,/company/oreilly-automotive/,"$8,593",7.9%,"$1,037.7",11.4%,"$7,204",,,,,Specialty Retailers: Other,MO,"$24,730",ORLY,2017,"58,397",Springfield,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,19,19,,,
Peter Kiewit Sons',324,324,/company/peter-kiewit-sons/,"$8,573",-4.7%,$396,57.8%,"$6,179",,,,,"Engineering, Construction",NE,,,2017,"20,000",Omaha,no,yes,no,,no,,no,,Engineering & Construction,no,no,yes,no,no,-10,-10,,,
United Natural Foods,325,325,/company/united-natural-foods/,"$8,470",3.5%,$125.8,-9.3%,"$2,852",,,,,Wholesalers: Food and Grocery,RI,"$2,187",UNFI,2017,"9,554",Providence,yes,no,no,,no,,no,,Wholesalers,no,no,no,no,no,10,10,,,
Salesforce,326,326,/company/salesforce-com/,"$8,392",25.9%,$179.6,,"$17,585",,,,,Computer Software,CA,"$58,362",CRM,2017,"25,000",San Francisco,yes,no,no,,yes,,no,,Technology,no,yes,yes,yes,no,60,60,,,
Boston Scientific,327,327,/company/boston-scientific/,"$8,386",12.2%,$347,,"$18,096",,,,,Medical Products and Equipment,MA,"$34,046",BSX,2017,"27,000",Marlborough,yes,no,no,,no,,no,,Health Care,no,no,yes,no,no,32,32,,,
Newmont,328,328,/company/newmont-mining/,"$8,379",8.4%,$-627,-385%,"$21,031",,,,,"Mining, Crude-Oil Production",CO,"$17,518",NEM,2017,"12,438",Greenwood Village,yes,no,no,,no,,no,,Energy,no,no,no,no,no,21,21,,,
Genworth Financial,329,329,/company/genworth-financial/,"$8,369",-9.5%,$-277,,"$104,658",,,,,"Insurance: Life, Health (Stock)",VA,"$2,056",GNW,2017,"3,400",Richmond,no,yes,no,,no,,no,,Financials,no,no,no,no,no,-23,-23,,,
Live Nation Entertainment,330,330,/company/live-nation-entertainment/,"$8,355",15.3%,$2.9,,"$6,764",,,,,Entertainment,CA,"$6,219",LYV,2017,"11,500",Beverly Hills,yes,no,no,,no,,no,,Media,no,no,no,no,no,36,36,,,
Veritiv,331,331,/company/veritiv/,"$8,327",-4.5%,$21,-21.3%,"$2,484",,,,,Wholesalers: Diversified,GA,$813,VRTV,2017,"8,700",Atlanta,no,yes,no,,no,,yes,,Wholesalers,no,no,no,no,no,-8,-8,,,
News Corp.,332,332,/company/news-corp/,"$8,319",-3.6%,$179,,"$15,483",,,,,"Publishing, Printing",NY,"$7,559",NWSA,2017,"24,000",New York,no,yes,no,,no,,no,,Media,no,no,no,no,no,-5,-5,,,
Crown Holdings,333,333,/company/crown-holdings/,"$8,284",-5.5%,$496,26.2%,"$9,599",,,,,"Packaging, Containers",PA,"$7,367",CCK,2017,"23,992",Philadelphia,no,yes,no,,no,,no,,Materials,no,no,no,no,no,-12,-12,,,
Global Partners,334,334,/company/global-partners/,"$8,240",-20.1%,$-199.4,-557.8%,"$2,564",,,,,Wholesalers: Diversified,MA,$663,GLP,2017,"1,770",Waltham,no,yes,no,,no,,no,,Wholesalers,no,no,no,no,no,-58,-58,,,
PVH,335,335,/company/pvh/,"$8,203",2.3%,$549,-4.1%,"$11,068",,,,,Apparel,NY,"$8,092",PVH,2017,"26,650",New York,yes,no,no,,no,,no,,Apparel,no,no,yes,no,no,5,5,,,
Level 3 Communications,336,336,/company/level-3-communications/,"$8,172",-0.7%,$677,-80.3%,"$24,888",,,,,Telecommunications,CO,"$20,638",,2017,"12,600",Broomfield,no,yes,no,,no,,no,,Telecommunications,no,no,no,no,no,-3,-3,,,
Navistar International,337,337,/company/navistar-international/,"$8,111",-20%,$-97,,"$5,653",,,,,Construction and Farm Machinery,IL,"$2,416",,2017,"11,300",Lisle,no,yes,no,,no,,no,,Industrials,no,no,no,no,no,-56,-56,,,
Univar Solutions,338,338,/company/univar/,"$8,074",-10.1%,$-68.4,-514.5%,"$5,390",,,,,Wholesalers: Diversified,IL,"$4,293",,2017,"8,700",Downers Grove,no,yes,no,,no,,no,,Wholesalers,no,no,no,no,no,-23,-23,,,
Campbell's,339,339,/company/campbell-soup/,"$7,961",-1.5%,$563,-18.5%,"$7,837",,,,,Food Consumer Products,NJ,"$17,423",CPB,2017,"16,500",Camden,no,yes,no,,no,,yes,,"Food, Beverages & Tobacco",no,no,no,no,no,-2,-2,,,
Dick's Sporting Goods,340,340,/company/dicks-sporting-goods/,"$7,922",9%,$287.4,-13%,"$4,058",,,,,Specialty Retailers: Other,PA,"$5,489",DKS,2017,"27,550",Coraopolis,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,25,25,,,
Weyerhaeuser,341,341,/company/weyerhaeuser/,"$7,902",11.6%,"$1,027",103%,"$19,243",,,,,Forest and Paper Products,WA,"$25,451",WY,2017,"10,400",Seattle,yes,no,no,,no,,no,,Materials,no,no,no,no,no,32,32,,,
Mutual of Omaha,342,342,/company/mutual-of-omaha-insurance/,"$7,899",9.2%,$356.6,7.1%,"$38,465",,,,,"Insurance: Life, Health (Stock)",NE,,,2017,"5,732",Omaha,yes,no,no,,no,,no,,Financials,no,no,no,no,no,25,25,,,
Expand Energy,343,343,/company/chesapeake-energy/,"$7,872",-38.3%,"$-4,401",,"$13,028",,,,,"Mining, Crude-Oil Production",OK,"$5,394",EXE,2017,"3,300",Oklahoma City,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-120,-120,,,
Anadarko Petroleum,344,344,/company/anadarko-petroleum/,"$7,869",-9.5%,"$-3,071",,"$45,564",,,,,"Mining, Crude-Oil Production",TX,"$34,640",APC,2017,"4,500",The Woodlands,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-20,-20,,,
Interpublic Group,345,345,/company/interpublic-group/,"$7,847",3.1%,$608.5,33.9%,"$12,485",,,,,"Advertising, Marketing",NY,"$9,648",IPG,2017,"49,800",New York,yes,no,no,,no,,no,,Business Services,no,no,no,no,no,10,10,,,
J.M. Smucker,346,346,/company/j-m-smucker/,"$7,811",37.2%,$688.7,99.7%,"$15,984",,,,,Food Consumer Products,OH,"$15,263",SJM,2017,"6,910",Orrville,yes,no,no,,no,,no,,"Food, Beverages & Tobacco",no,no,no,no,no,106,106,,,
Steel Dynamics,347,347,/company/steel-dynamics/,"$7,777",2.4%,$382.1,,"$6,424",,,,,Metals,IN,"$8,425",STLD,2017,"7,695",Fort Wayne,yes,no,no,,yes,,no,,Materials,no,no,no,no,no,9,9,,,
Foot Locker,348,348,/company/foot-locker/,"$7,766",4.8%,$664,22.7%,"$3,840",,,,,Specialty Retailers: Apparel,NY,"$9,818",FL,2017,"32,965",New York,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,13,13,,,
Western Refining,349,349,/company/western-refining/,"$7,743",-20.9%,$124.9,-69.3%,"$5,560",,,,,Petroleum Refining,TX,"$3,812",WNR,2017,"7,134",El Paso,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-60,-60,,,
SpartanNash,350,350,/company/spartannash/,"$7,735",1.1%,$56.8,-9.4%,"$1,930",,,,,Wholesalers: Food and Grocery,MI,"$1,313",SPTN,2017,"11,500",Byron Center,yes,no,no,,no,,no,,Wholesalers,no,no,no,no,yes,1,1,,,
Dean Foods,351,351,/company/dean-foods/,"$7,710",-5.1%,$119.9,,"$2,606",,,,,Food Consumer Products,TX,"$1,786",DFODQ,2017,"17,000",Dallas,no,yes,no,,no,,no,,"Food, Beverages & Tobacco",no,no,no,no,no,-15,-15,,,
Zimmer Biomet Holdings,352,352,/company/zimmer-biomet-holdings-3/,"$7,684",28.1%,$305.9,108.1%,"$26,684",,,,,Medical Products and Equipment,IN,"$24,571",ZBH,2017,"18,500",Warsaw,yes,no,no,,no,,no,,Health Care,no,no,no,no,no,79,79,,,
PulteGroup,353,353,/company/pultegroup/,"$7,669",28.2%,$602.7,22%,"$10,178",,,,,Homebuilders,GA,"$7,466",PHM,2017,"4,623",Atlanta,yes,no,no,,no,,no,,Engineering & Construction,no,no,no,no,no,80,80,,,
W.R. Berkley,354,354,/company/w-r-berkley/,"$7,654",6.2%,$601.9,19.5%,"$23,365",,,,,Insurance: Property and Casualty (Stock),CT,"$8,561",WRB,2017,"7,608",Greenwich,yes,no,no,,no,,no,,Financials,no,no,no,no,no,14,14,,,
Quanta Services,355,355,/company/quanta-services/,"$7,651",0.2%,$198.4,-36.2%,"$5,354",,,,,"Engineering, Construction",TX,"$5,386",PWR,2017,"28,100",Houston,no,yes,no,,no,,no,,Engineering & Construction,no,no,no,no,no,-3,-3,,,
EOG Resources,356,356,/company/eog-resources/,"$7,651",-12.6%,"$-1,096.7",,"$29,459",,,,,"Mining, Crude-Oil Production",TX,"$56,302",EOG,2017,"2,650",Houston,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-34,-34,,,
Charles Schwab,357,357,/company/charles-schwab/,"$7,644",17.6%,"$1,889",30.5%,"$223,383",,,,,Securities,CA,"$54,555",SCHW,2017,"16,200",San Francisco,yes,no,no,,no,,no,,Financials,no,no,yes,no,no,44,44,,,
Eversource Energy,358,358,/company/eversource-energy/,"$7,639",-4%,$942.3,7.3%,"$32,053",,,,,Utilities: Gas and Electric,MA,"$18,627",ES,2017,"7,762",Springfield,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-15,-15,,,
Anixter International,359,359,/company/anixter-international/,"$7,625",15.6%,$120.5,-5.6%,"$4,094",,,,,Wholesalers: Electronics and Office Equipment,IL,"$2,626",,2017,"8,900",Glenview,yes,no,no,,no,,no,,Wholesalers,no,no,no,no,no,32,32,,,
EMCOR Group,360,360,/company/emcor-group/,"$7,552",12.3%,$181.9,5.6%,"$3,894",,,,,"Engineering, Construction",CT,"$3,756",EME,2017,"31,000",Norwalk,yes,no,no,,no,,no,,Engineering & Construction,no,no,yes,no,no,21,21,,,
Assurant,361,361,/company/assurant/,"$7,532",-27.1%,$565.4,299.4%,"$29,709",,,,,Insurance: Property and Casualty (Stock),NY,"$5,298",AIZ,2017,"14,700",New York,no,yes,no,,no,,no,,Financials,no,no,no,no,no,-86,-86,,,
CenterPoint Energy,362,362,/company/centerpoint-energy/,"$7,528",1.9%,$432,,"$21,829",,,,,Utilities: Gas and Electric,TX,"$11,882",CNP,2017,"7,727",Houston,yes,no,no,,no,,no,,Energy,no,no,no,no,no,1,1,,,
L3Harris Technologies,363,363,/company/harris/,"$7,527",48.1%,$324,-3%,"$11,996",,,,,Network and Other Communications Equipment,FL,"$13,849",LHX,2017,"21,000",Melbourne,no,no,no,,no,,no,,Technology,no,no,no,no,no,142,,,,
HD Supply Holdings,364,364,/company/hd-supply-holdings/,"$7,524",-14.3%,$196,-86.7%,"$5,707",,,,,Wholesalers: Diversified,GA,"$8,296",,2017,"14,000",Atlanta,no,yes,no,,no,,no,,Wholesalers,no,no,no,no,no,-44,-44,,,
PPL,365,365,/company/ppl/,"$7,517",-2%,"$1,902",178.9%,"$38,315",,,,,Utilities: Gas and Electric,PA,"$25,448",PPL,2017,"12,689",Allentown,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-15,-15,,,
Quest Diagnostics,366,366,/company/quest-diagnostics/,"$7,515",0.3%,$645,-9%,"$10,100",,,,,Health Care: Pharmacy and Other Services,NJ,"$13,501",DGX,2017,"43,000",Madison,no,yes,no,,no,,no,,Health Care,no,no,yes,no,no,-8,-8,,,
Williams,367,367,/company/williams/,"$7,499",1.9%,$-424,,"$46,835",,,,,Energy,OK,"$24,436",WMB,2017,"5,604",Tulsa,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-3,-3,,,
WEC Energy Group,368,368,/company/wec-energy-group/,"$7,472",26.1%,$939,47.1%,"$30,123",,,,,Utilities: Gas and Electric,WI,"$19,134",WEC,2017,"8,074",Milwaukee,yes,no,no,,no,,no,,Energy,no,no,no,no,no,69,69,,,
Hershey,369,369,/company/hershey/,"$7,440",0.7%,$720,40.4%,"$5,524",,,,,Food Consumer Products,PA,"$23,236",HSY,2017,"17,140",Hershey,no,yes,no,,no,,yes,,"Food, Beverages & Tobacco",no,no,no,no,no,-7,-7,,,
AGCO,370,370,/company/agco/,"$7,411",-0.8%,$160.1,-39.9%,"$7,168",,,,,Construction and Farm Machinery,GA,"$4,783",AGCO,2017,"19,795",Duluth,no,yes,no,,no,,no,,Industrials,no,no,no,no,no,-10,-10,,,
Ralph Lauren,371,371,/company/ralph-lauren/,"$7,405",-2.8%,$396,-43.6%,"$6,213",,,,,Apparel,NY,"$6,710",RL,2017,"20,500",New York,no,yes,no,,no,,no,,Apparel,no,no,no,no,no,-17,-17,,,
Masco,372,372,/company/masco/,"$7,357",-6.9%,$491,38.3%,"$5,137",,,,,"Home Equipment, Furnishings",MI,"$10,888",MAS,2017,"26,000",Taylor,no,yes,no,,no,,no,,Household Products,no,no,no,no,no,-27,-27,,,
WESCO International,373,373,/company/wesco-international/,"$7,336",-2.4%,$101.6,-51.8%,"$4,491",,,,,Wholesalers: Diversified,PA,"$3,389",WCC,2017,"9,000",Pittsburgh,no,yes,no,,no,,no,,Wholesalers,no,no,yes,no,no,-16,-16,,,
LifePoint Health,374,374,/company/lifepoint-health/,"$7,274",20.9%,$121.9,-33%,"$6,319",,,,,Health Care: Medical Facilities,TN,"$2,616",LPNT,2017,"47,000",Brentwood,yes,no,no,,no,,no,,Health Care,no,no,yes,no,no,56,56,,,
NOV,375,375,/company/national-oilwell-varco/,"$7,251",-50.9%,"$-2,412",,"$21,140",,,,,"Oil and Gas Equipment, Services",TX,"$15,183",NOV,2017,"36,384",Houston,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-183,-183,,,
Kindred Healthcare,376,376,/company/kindred-healthcare/,"$7,227",1.8%,$-664.2,,"$6,113",,,,,Health Care: Medical Facilities,KY,$711,,2017,"76,650",Louisville,no,yes,no,,no,,no,,Health Care,no,no,yes,no,no,-4,-4,,,
Mosaic,377,377,/company/mosaic/,"$7,163",-19.5%,$297.8,-70.2%,"$16,841",,,,,Chemicals,MN,"$10,242",MOS,2017,"8,700",Plymouth,no,yes,no,,no,,no,,Chemicals,no,no,no,no,no,-61,-61,,,
Bread Financial Holdings,378,378,/company/alliance-data-systems/,"$7,138",10.8%,$515.8,-13.5%,"$25,514",,,,,Financial Data Services,TX,"$13,925",BFH,2017,"17,000",Plano,yes,no,no,,no,,no,,Business Services,no,no,no,no,no,26,26,,,
Computer Sciences,379,379,/company/computer-sciences/,"$7,106",-41.7%,$251,"12,450.00%","$7,736",,,,,Information Technology Services,VA,"$9,746",,2017,"59,000",Tysons,no,yes,no,,no,,no,,Technology,no,no,no,no,no,-146,-146,,,
Huntington Ingalls Industries,380,380,/company/huntington-ingalls-industries/,"$7,068",0.7%,$573,41.8%,"$6,352",,,,,Aerospace and Defense,VA,"$9,265",HII,2017,"37,000",Newport News,no,yes,no,,no,,no,,Aerospace & Defense,no,no,no,no,no,-2,-2,,,
Leidos Holdings,381,381,/company/leidos-holdings/,"$7,043",38.5%,$244,-3.9%,"$9,132",,,,,Information Technology Services,VA,"$7,696",LDOS,2017,"32,000",Reston,no,no,no,,no,,no,,Technology,no,no,no,no,no,123,,,,
Erie Insurance Group,382,382,/company/erie-insurance-group/,"$7,016",5.7%,$741.9,10.7%,"$18,417",,,,,Insurance: Property and Casualty (Mutual),PA,,,2017,"4,988",Erie,yes,no,no,,no,,no,,Financials,no,no,no,no,no,29,29,,,
Tesla,383,383,/company/tesla/,"$7,000",73%,$-674.9,,"$22,664",,,,,Motor Vehicles and Parts,CA,"$45,390",TSLA,2017,"30,025",Palo Alto,no,no,yes,,yes,,no,,Motor Vehicles & Parts,no,no,no,yes,no,205,,,,
Mahwah Bergen Retail Group,384,384,/company/ascena-retail-group/,"$6,995",45.6%,$-11.9,,"$5,506",,,,,Specialty Retailers: Apparel,NJ,$830,ASNA,2017,"41,000",Mahwah,no,no,yes,,no,,no,,Retailing,no,no,no,no,no,139,,,,
Darden Restaurants,385,385,/company/darden-restaurants/,"$6,934",-3.2%,$375,-47.1%,"$4,583",,,,,Food Services,FL,"$10,389",DRI,2017,"150,942",Orlando,no,yes,no,,no,,no,,"Hotels, Restaurants & Leisure",no,no,no,no,no,-14,-14,,,
Harman International Industries,386,386,/company/harman-international-industries/,"$6,912",12.3%,$361.7,5.6%,"$6,054",,,,,"Electronics, Electrical Equipment",CT,,,2017,"26,000",Stamford,yes,no,no,,no,,no,,Industrials,no,no,no,no,no,33,33,,,
Nvidia,387,387,/company/nvidia/,"$6,910",37.9%,"$1,666",171.3%,"$9,841",,,,,Semiconductors and Other Electronic Components,CA,"$64,160",NVDA,2017,"10,299",Santa Clara,no,no,yes,,yes,,no,,Technology,no,yes,yes,no,no,121,,,,
R.R. Donnelley & Sons,388,388,/company/r-r-donnelley-sons/,"$6,896",-38.7%,$-495.9,-428.2%,"$4,285",,,,,"Publishing, Printing",IL,$846,RRD,2017,"44,360",Chicago,no,yes,no,,no,,no,,Media,no,no,no,no,no,-133,-133,,,
Fifth Third Bancorp,389,389,/company/fifth-third-bancorp/,"$6,889",-2%,"$1,564",-8.6%,"$142,177",,,,,Commercial Banks,OH,"$19,066",FITB,2017,"17,844",Cincinnati,no,yes,no,,no,,no,,Financials,no,no,no,no,no,-13,-13,,,
IQVIA Holdings,390,390,/company/quintiles-ims-holdings/,"$6,878",19.9%,$115,-70.3%,"$21,208",,,,,Health Care: Pharmacy and Other Services,NC,"$18,999",IQV,2017,"50,000",Durham,yes,no,no,,no,,no,,Health Care,no,no,yes,no,no,57,57,,,
Jones Lang LaSalle,391,391,/company/jones-lang-lasalle/,"$6,804",14%,$318.2,-27.5%,"$7,629",,,,,Real Estate,IL,"$5,043",JLL,2017,"77,300",Chicago,yes,no,no,,no,,no,,Financials,no,no,yes,no,no,45,45,,,
Dover,392,392,/company/dover/,"$6,794",-3.3%,$508.9,-41.5%,"$10,116",,,,,Industrial Machinery,IL,"$12,502",DOV,2017,"29,000",Downers Grove,no,yes,no,,no,,no,,Industrials,no,no,no,no,no,-15,-15,,,
Spirit AeroSystems Holdings,393,393,/company/spirit-aerosystems-holdings/,"$6,793",2.2%,$469.7,-40.4%,"$5,405",,,,,Aerospace and Defense,KS,"$6,900",SPR,2017,"14,400",Wichita,no,yes,no,,no,,no,,Aerospace & Defense,no,no,no,no,no,-4,-4,,,
Ryder System,394,394,/company/ryder-system/,"$6,787",3.3%,$262.5,-13.9%,"$10,903",,,,,"Trucking, Truck Leasing",FL,"$3,992",R,2017,"34,500",Miami,yes,no,no,,no,,no,,Transportation,no,no,yes,no,no,1,1,,,
A-Mark Precious Metals,395,395,/company/a-mark-precious-metals/,"$6,784",11.8%,$9.3,31.5%,$437,,,,,Miscellaneous,CA,$120,AMRK,2017,83,Santa Monica,yes,no,no,,no,,no,,Materials,no,no,no,no,no,31,31,,,
Tractor Supply,396,396,/company/tractor-supply/,"$6,780",8.9%,$437.1,6.5%,"$2,675",,,,,Specialty Retailers: Other,TN,"$8,960",TSCO,2017,"19,500",Brentwood,yes,no,no,,no,,no,,Retailing,no,no,no,no,no,19,19,,,
Sealed Air,397,397,/company/sealed-air/,"$6,778",-3.6%,$486.4,45%,"$7,389",,,,,"Packaging, Containers",NC,"$8,432",SEE,2017,"23,000",Charlotte,no,yes,no,,no,,no,,Materials,no,no,yes,no,no,-22,-22,,,
Auto-Owners Insurance,398,398,/company/auto-owners-insurance/,"$6,775",4%,$706.3,-13.4%,"$21,571",,,,,Insurance: Property and Casualty (Mutual),MI,,,2017,"4,737",Lansing,no,no,no,,no,,no,,Financials,no,no,no,no,no,,,,,
Yum China Holdings,399,399,/company/yum-china-holdings/,"$6,752",,$502,,"$3,727",,,,,Food Services,TX,"$10,453",YUMC,2017,"420,000",Plano,no,no,yes,,no,,no,,"Hotels, Restaurants & Leisure",no,no,no,no,no,,,,,
Calpine,400,400,/company/calpine/,"$6,716",3.8%,$92,-60.9%,"$19,317",,,,,Energy,TX,"$3,989",,2017,"2,372",Houston,yes,no,no,,no,,no,,Energy,no,no,no,no,no,2,2,,,
O-I Glass,401,401,/company/owens-illinois/,"$6,702",8.9%,$209,54.8%,"$9,135",,,,,"Packaging, Containers",OH,"$3,316",OI,2017,"27,000",Perrysburg,yes,no,no,,no,,no,,Materials,no,no,no,no,no,17,17,,,
Targa Resources,402,402,/company/targa-resources/,"$6,691",0.5%,$-187.3,-421.3%,"$12,871",,,,,Pipelines,TX,"$11,743",TRGP,2017,"1,970",Houston,no,yes,no,,no,,no,,Energy,no,no,no,no,no,-15,-15,,,
